No,Time,Temperature,Prototype_Formulation,Packaging,Purity
1,180,5,1,1,97.3
2,270,5,1,1,97.1
3,730,5,1,1,95.3
4,180,5,2,1,96.6
5,270,5,2,1,97.2
6,730,5,2,1,94.9
7,180,5,3,1,97.7
8,270,5,3,1,97.5
9,730,5,3,1,95.6
10,180,5,1,2,97.3
11,270,5,1,2,
12,730,5,1,2,95.6
13,180,5,2,2,96.9
14,270,5,2,2,
15,730,5,2,2,95.3
16,180,5,3,2,97.2
17,270,5,3,2,
18,730,5,3,2,96.0
19,758,30,1,1,94.6
20,758,30,2,1,93.9
21,758,30,3,1,94.7
22,758,30,1,2,94.4
23,758,30,2,2,93.7
24,758,30,3,2,94.4
