Time (months),Temp (°C),Temp (K),[A] Monomer (single),[A] Monomer (parallel),[B] HMW,[C] LMW
20,25,298.15,98.7314404528313,98.7314404528313,0.12127053269694751,0.24728901447175267
21,25,298.15,98.71304849873866,98.71304849873866,0.12732220626580726,0.2596292949955286
22,25,298.15,98.6946599707479,98.6946599707479,0.13337275251289854,0.27196727673918947
23,25,298.15,98.67627486822083,98.67627486822083,0.13942217164821782,0.28430296013094986
24,25,298.15,98.65789319051933,98.65789319051933,0.14547046388172172,0.2966363455989431
25,25,298.15,98.6395149370054,98.6395149370054,0.15151762942334146,0.3089674335712509
26,25,298.15,98.6211401070412,98.6211401070412,0.15756366848295403,0.3212962244758442
27,25,298.15,98.60276869998896,98.60276869998896,0.16360858127040745,0.33362271874063504
28,25,298.15,98.58440071521105,98.58440071521105,0.1696523679955026,0.3459469167934392
29,25,298.15,98.56603615206998,98.56603615206998,0.1756950288680079,0.3582688190620063
30,25,298.15,98.54767500992835,98.54767500992835,0.18173656409764824,0.37058842597399716
31,25,298.15,98.52931728814889,98.52931728814889,0.1877769738941123,0.38290573795699895
32,25,298.15,98.51096298609441,98.51096298609441,0.19381625846705264,0.3952207554385249
33,25,298.15,98.49261210312794,98.49261210312794,0.19985441802607107,0.407533478845985
34,25,298.15,98.47426463861251,98.47426463861251,0.20589145278074408,0.4198439086067375
35,25,298.15,98.45592059191134,98.45592059191134,0.2119273629406047,0.43215204514805194
36,25,298.15,98.43757996238776,98.43757996238776,0.21796214871513894,0.4444578888971022
0,40,313.15,99.1,99.1,0.0,0.0
1,40,313.15,98.9565460013235,98.9565460013235,0.05230409205483428,0.09114990662165452
2,40,313.15,98.81329966207926,98.81329966207926,0.10453247037453332,0.1821678675462053
3,40,313.15,98.6702606816661,98.6702606816661,0.15668524455988045,0.27305407377402674
4,40,313.15,98.52742875991797,98.52742875991797,0.20876252405300813,0.3638087160290137
5,40,313.15,98.3848035971034,98.3848035971034,0.26076441813762263,0.4544319847589732
6,40,313.15,98.24238489392472,98.24238489392472,0.31269103593924075,0.5449240701360363
7,40,313.15,98.10017235151756,98.10017235151756,0.3645424864254063,0.6352851620570364
8,40,313.15,97.95816567145016,97.95816567145016,0.4163188784059229,0.7255154501439142
9,40,313.15,97.81636455572276,97.81636455572276,0.46802032053309456,0.8156151237441369
10,40,313.15,97.67476870676698,97.67476870676698,0.5196469213019385,0.9055843719310694
11,40,313.15,97.53337782744522,97.53337782744522,0.5711987890504093,0.9954233835043657
12,40,313.15,97.39219162104992,97.39219162104992,0.6226760319596565,1.0851323469904153
13,40,313.15,97.25120979130313,97.25120979130313,0.6740787580542041,1.1747114506426592
14,40,313.15,97.11043204235571,97.11043204235571,0.7254070752022244,1.2641608824420643
15,40,313.15,96.9698580787868,96.9698580787868,0.7766610911157332,1.3534808300974666
16,40,313.15,96.82948760560319,96.82948760560319,0.8278409133508242,1.4426714810459758
17,40,313.15,96.68932032823871,96.68932032823871,0.878946649307904,1.5317330224533885
18,40,313.15,96.54935595255355,96.54935595255355,0.9299784062318978,1.6206656412145448
19,40,313.15,96.40959418483372,96.40959418483372,0.9809362912125016,1.7094695239537683
20,40,313.15,96.27003473179039,96.27003473179039,1.0318204111843832,1.7981448570252156
21,40,313.15,96.13067730055931,96.13067730055931,1.0826308729274103,1.8866918265132755
22,40,313.15,95.99152159870012,95.99152159870012,1.1333677830668918,1.9751106182329867
23,40,313.15,95.85256733419583,95.85256733419583,1.1840312480737776,2.06340141773039
24,40,313.15,95.71381421545213,95.71381421545213,1.234621374264904,2.1515644102829525
25,40,313.15,95.57526195129687,95.57526195129687,1.2851382678031982,2.2395997808999253
26,40,313.15,95.43691025097934,95.43691025097934,1.3355820346979108,2.3275077143227474
27,40,313.15,95.29875882416971,95.29875882416971,1.38595278080484,2.4152883950254407
28,40,313.15,95.16080738095847,95.16080738095847,1.4362506118265452,2.5029420072149757
29,40,313.15,95.02305563185571,95.02305563185571,1.486475633312587,2.590468734831695
30,40,313.15,94.88550328779063,94.88550328779063,1.5366279506597196,2.677868761549647
31,40,313.15,94.74815006011086,94.74815006011086,1.5867076691121322,2.7651422707770053
32,40,313.15,94.61099566058185,94.61099566058185,1.6367148937616773,2.852289445656467
33,40,313.15,94.47403980138633,94.47403980138633,1.686649729548067,2.939310469065598
34,40,313.15,94.33728219512365,94.33728219512365,1.7365122812591096,3.0262055236172403
35,40,313.15,94.20072255480918,94.20072255480918,1.786302653530927,3.1129747916598944
36,40,313.15,94.06436059387373,94.06436059387373,1.8360209508481706,3.1996184552780944
