No,Time,Temperature,Prototype_Formulation,Packaging,Purity
214,61,37,2,2,1.39
215,96,37,2,2,
216,97,37,2,2,1.71
217,0,40,2,2,0.23
218,13,40,2,2,0.74
219,33,40,2,2,
220,35,40,2,2,1.15
221,45,40,2,2,1.39
222,60,40,2,2,
223,61,40,2,2,1.60
224,96,40,2,2,
225,97,40,2,2,2.08
226,0,5,3,2,0.20
227,13,5,3,2,0.31
228,33,5,3,2,
229,35,5,3,2,0.38
230,45,5,3,2,0.41
231,60,5,3,2,
232,61,5,3,2,0.46
233,96,5,3,2,
234,97,5,3,2,0.54
235,0,25,3,2,0.20
236,13,25,3,2,0.50
237,33,25,3,2,
238,35,25,3,2,0.66
239,45,25,3,2,0.72
240,60,25,3,2,
241,61,25,3,2,0.77
242,96,25,3,2,
243,97,25,3,2,0.86
244,0,30,3,2,0.20
245,13,30,3,2,0.54
246,33,30,3,2,
247,35,30,3,2,0.72
248,45,30,3,2,0.83
249,60,30,3,2,
250,61,30,3,2,0.88
251,96,30,3,2,
252,97,30,3,2,1.03
253,0,37,3,2,0.20
254,13,37,3,2,0.67
255,33,37,3,2,
256,35,37,3,2,0.92
257,45,37,3,2,1.10
258,60,37,3,2,
259,61,37,3,2,1.22
260,96,37,3,2,
261,97,37,3,2,1.49
262,0,40,3,2,0.20
263,13,40,3,2,0.70
264,33,40,3,2,
265,35,40,3,2,1.01
266,45,40,3,2,1.22
267,60,40,3,2,
268,61,40,3,2,1.37
269,96,40,3,2,
270,97,40,3,2,1.76
